"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"";"FERRITE-1206";"FB1206";"L2";"Ferrite bead in various packages";"";
"1";"";"M02MINIFIT-SR";"MINIFIT_SR";"J1";"Standard 2-pin 0.1" header. Use with";"";
"1";"";"M03MINIFIT-SR3";"MINIFIT-SRX3";"J3";"Header 3";"";
"2";"";"M03X2MINIFIT_JR";"2X03_MINIFIT_JR";"J2, J5";"2x3 .1" header.";"";
"1";"";"M06SILK_FEMALE_PTH";"1X06";"J4";"Header 6";"";
"1";"0.016";"RESISTOR2010";"R2010";"R8";"Resistor";"";
"2";"0.01u";"CAP0805";"0805";"C23, C31";"Capacitor";"";
"9";"0.1u";"CAP0805";"0805";"C10, C13, C14, C15, C16, C19, C24, C25, C30";"Capacitor";"";
"8";"10";"RESISTOR0805-RES";"0805";"R10, R19, R43, R44, R45, R46, R47, R48";"Resistor";"";
"1";"10";"RESISTOR1206";"1206";"R5";"Resistor";"";
"11";"100";"RESISTOR0805-RES";"0805";"R16, R20, R21, R22, R23, R27, R28, R29, R30, R31, R32";"Resistor";"";
"1";"100k";"RESISTOR1206";"1206";"R41";"Resistor";"";
"5";"10k";"RESISTOR0805-RES";"0805";"R7, R18, R38, R39, R40";"Resistor";"";
"1";"10k";"RESISTOR1206";"1206";"R4";"Resistor";"";
"4";"10n";"CAP0805";"0805";"C26, C27, C28, C29";"Capacitor";"";
"1";"120P";"CAP0805";"0805";"C5";"Capacitor";"";
"1";"133k";"RESISTOR0805-RES";"0805";"R6";"Resistor";"";
"1";"16.2K";"RESISTOR0805-RES";"0805";"R13";"Resistor";"";
"1";"1M";"RESISTOR0805-RES";"0805";"R9";"Resistor";"";
"1";"1M";"RESISTOR1206";"1206";"R49";"Resistor";"";
"2";"1k";"RESISTOR0805-RES";"0805";"R34, R35";"Resistor";"";
"2";"1u";"CAP0805";"0805";"C7, C8";"Capacitor";"";
"1";"2.2u";"CAP1210";"1210";"C17";"Capacitor";"";
"1";"2.8k";"RESISTOR1206";"1206";"R1";"Resistor";"";
"3";"22n";"CAP0805";"0805";"C6, C9, C11";"Capacitor";"";
"1";"22u";"INDUCTORSRP7050TA-220M";"IND_SMD_SRP7050TA";"L1";"Inductors";"";
"1";"250k";"RESISTOR0805-RES";"0805";"R14";"Resistor";"";
"1";"274K";"RESISTOR1206";"1206";"R11";"Resistor";"";
"1";"30k";"RESISTOR1206";"1206";"R2";"Resistor";"";
"3";"330";"RESISTOR0805-RES";"0805";"R24, R25, R26";"Resistor";"";
"2";"4.7k";"RESISTOR0805-RES";"0805";"R36, R37";"Resistor";"";
"4";"4.7u";"CAP1210";"1210";"C1, C3, C12, C18";"Capacitor";"";
"1";"4.99K";"RESISTOR1206";"1206";"R12";"Resistor";"";
"1";"47k";"RESISTOR0805-RES";"0805";"R15";"Resistor";"";
"1";"47n";"CAP0805";"0805";"C2";"Capacitor";"";
"3";"47u";"CAP1210";"1210";"C20, C21, C22";"Capacitor";"";
"1";"5.1k";"RESISTOR1206";"1206";"R42";"Resistor";"";
"1";"51";"RESISTOR1206";"1206";"R3";"Resistor";"";
"1";"510k";"RESISTOR0805-RES";"0805";"R33";"Resistor";"";
"1";"51k";"RESISTOR0805-RES";"0805";"R17";"Resistor";"";
"1";"6.8N";"CAP0805";"0805";"C4";"Capacitor";"";
"1";"ACS758LCB";"ACS758LCB";"CB5PIN";"U6";"";"";
"2";"BUK9240-100A.118";"MOSFET-NCHANNELBUK9240-100A.118";"DPAK";"Q3, Q4";"Common NMOSFET Parts";"";
"1";"CLV1A-FKB";"0.13_RGB_LEDCLV1A-FKB";"P-LCC-4-3";"D6";"Everlight Red/Green/Blue LED";"";
"1";"DRV8301";"DRV8301";"HTSSOP_56";"U1";"The DRV8301 is a gate driver IC for three-phase";"";
"4";"ESDA6V1SC6Y";"ESDA6V1SC6Y";"SOT23-6";"U2, U3, U4, U7";"";"";
"3";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"FD1, FD2, FD3";"Fiducial Alignment Points";"";
"6";"FRAME-LEDGER";"FRAME-LEDGER";"CREATIVE_COMMONS";"FRAME1, FRAME2, FRAME3, FRAME4, FRAME5, FRAME6";"Schematic Frame";"";
"1";"LT4356-2";"LT4356-2";"SOIC-16";"U11";"The LT®4356 surge stopper protects loads from high voltage";"";
"6";"MBRF1090";"DIODE-SCHOTTKY-MBRF1090_V";"TO220V_2";"D7, D8, D9, D10, D11, D12";"Schottky diodes in SFE's production catalog";"";
"1";"MMBT5551LT1G";"TRANSISTOR_NPNMMBT5551LT1G";"SOT23-3";"Q2";"Generic NPN BJT";"";
"1";"MTI85W100GC";"MTI85W100GC";"ISOPLUS-DIL";"U8";"";"";
"1";"PMEG10030ELPX";"PMEG10030ELPX";"SMB-DIODE";"D5";"";"";
"1";"PSOC5LP-DEVBRDCY8CKIT-059";"PSOC5LP-DEVBRDCY8CKIT-059";"CYKIT059";"MOD1";"";"";
"1";"RED";"LED-RED1206";"LED-1206";"D1";"Assorted Red LEDs";"";
"2";"S3BB";"DIODES3BB";"SMB-DIODE";"D2, D3";"Diode";"";
"1";"SMAJ70CA";"SMAJ70CA";"SMA-DIODE";"D4";"The SMAJ series is designed specifically to protect";"";
"1";"SOLDERJUMPERNO";"SOLDERJUMPERNO";"SJ_2S-NO";"SJ3";"Solder Jumper";"";
"2";"SOLDERJUMPERTRACE";"SOLDERJUMPERTRACE";"SJ_2S-TRACE";"SJ1, SJ2";"Solder Jumper";"";
"4";"STANDOFF_ELECTRICAL";"STANDOFF_ELECTRICAL";"STANDOFF-ELECTRICAL";"S1, S2, S3, S4";"A standoff intended to be an electrically connected point.";"";
"1";"TMP101";"TMP101";"SOT23-6";"U5";"";"";
"1";"ZXMP10A17GQ";"MOSFET-PCHANNELZXMP10A17GQ";"SOT223";"Q1";"Generic PMOSFET";"";
